id,lyric,line
5,Standing by and waiting at your back door,43
5,"All this time how could you not know, baby?",44
5,"You belong with me, you belong with me",45
5,You belong with me,46
5,Have you ever thought just maybe,47
5,You belong with me?,48
5,You belong with me,49
6,I see your face in my mind as I drive away,1
6,'Cause none of us thought it was gonna end that way,2
6,People are people and sometimes we change our minds,3
6,But it's killing me to see you go after all this time,4
6,"Mm-mm, mm-mm-mm-mm",5
6,"Mm-mm, mm-mm-mm-mm",6
6,The music starts playing like the end of a sad movie,7
6,It's the kind of ending you don't really wanna see,8
6,'Cause it's tragedy and it'll only bring you down,9
6,Now I don't know what to be without you around,10
6,"And we know it's never simple, never easy",11
6,"Never a clean break, no one here to save me",12
6,You're the only thing I know like the back of my hand,13
6,"And I can't breathe without you, but I have to",14
6,"Breathe without you, but I have to",15
6,"Never wanted this, never wanna see you hurt",16
6,"Every little bump in the road, I tried to swerve",17
6,But people are people and sometimes it doesn't work out,18
6,And nothin' we say is gonna save us from the fallout,19
6,"And we know it's never simple, never easy",20
6,"Never a clean break, no one here to save me",21
6,You're the only thing I know like the back of my hand,22
6,"And I can't breathe without you, but I have to",23
6,Breathe without you but I have to,24
6,"It's 2 A.M., feeling like I just lost a friend",25
6,"Hope you know it's not easy, easy for me",26
6,"It's 2 A.M., feeling like I just lost a friend",27
6,"Hope you know this ain't easy, easy for me",28
6,"And we know it's never simple, never easy",29
6,"Never a clean break, no one here to save me, oh",30
6,"I can't breathe without you, but I have to",31
6,"Breathe without you, but I have to",32
6,"Breathe without you, but I have to",33
6,"Breathe without you, but I have to",34
6,"I'm sorry, I'm sorry (Mmm)",35
6,"I'm sorry, (Yeah, yeah) I'm sorry",36
6,"I'm sorry, I'm sorry (Ooh, ooh)",37
6,I'm sorry,38
7,"I took a chance, I took a shot",1
7,"And you might think I'm bulletproof, but I'm not",2
7,"You took a swing, I took it hard",3
7,"And down here from the ground, I see who you are",4
7,I'm sick and tired of your attitude,5
7,I'm feeling like I don't know you,6
7,"You tell me that you love me, then cut me down",7
7,And I need you like a heartbeat,8
7,But you know you got a mean streak,9
7,Makes me run for cover when you're around,10
7,Here's to you and your temper,11
7,"Yes, I remember what you said last night",12
7,And I know that you see what you're doin' to me,13
7,Tell me why,14
7,"Well, you could write a book on",15
7,How to ruin someone's perfеct day,16
7,"Well, I get so confused and frustratеd",17
7,"Forget what I'm tryin' to say, oh",18
7,I'm sick and tired of your reasons,19
7,I got no one to believe in,20
7,"You tell me that you want me, then push me around",21
7,And I need you like a heartbeat,22
7,But you know you got a mean streak,23
7,Makes me run for cover when you're around,24
7,Here's to you and your temper,25
7,"Yes, I remember what you said last night",26
7,And I know that you see what you're doin' to me,27
7,Tell me why,28
7,Why do you have to make me feel small,29
7,So you can feel whole inside?,30
7,Why do you have to put down my dreams,31
7,So you're the only thing on my mind?,32
7,I'm sick and tired of your attitude,33
7,Feeling like I don't know you,34
7,"You tell me that you want me, then cut me down",35
7,I'm sick and tired of your reasons,36
7,I've got no one to believe in,37
7,"You ask me for my love, then you push me around",38
7,Here's to you and your temper,39
7,"Yes, I remember what you said last night",40
7,And I know that you see what you're doin' to me,41
7,Tell me why (Why),42
7,Tell me why (Oh),43
7,"I take a step back, I let you go",44
7,I told you I'm not bulletproof,45
7,Now you know,46
8,All this time I was wasting hoping you would come around,1
8,I've been giving out chances every time and all you do is let me down,2
8,"And it's taken me this long, baby, but I've figured you out",3
8,"And you're thinking we'll be fine again, but not this time around",4
8,You don't have to call anymore,5
8,I won't pick up the phone,6
8,This is the last straw,7
8,Don't wanna hurt anymore,8
8,And you can tell me that you're sorry,9
8,"But I don't believe you, baby, like I did before",10
8,You're not sorry,11
8,"No, no, oh-oh",12
8,"You're looking so innocent, I might believe you if I didn't know",13
8,Could've loved you all my life if you hadn't lеft me waiting in the cold,14
8,And you've got your sharе of secrets,15
8,"And I'm tired of being last to know, oh",16
8,And now you're asking me to listen,17
8,'Cause it's worked each time before,18
8,But you don't have to call anymore,19
8,I won't pick up the phone,20
8,This is the last straw,21
8,Don't wanna hurt anymore,22
8,And you can tell me that you're sorry,23
8,"But I don't believe you, baby, like I did before",24
8,You're not sorry,25
8,"No, no, oh-oh",26
8,You're not sorry,27
8,"No, no, oh-oh",28
8,"You had me crawling for you, honey",29
8,"And it never would've gone away, no",30
8,"You used to shine so bright, but I watched all of it fade",31
8,So you don't have to call anymore,32
8,I won't pick up the phone,33
8,This is the last straw,34
8,There's nothing left to beg for,35
8,And you can tell me that you're sorry,36
8,"But I don't believe you, baby, like I did before",37
8,You're not sorry,38
8,"No, no, oh-oh",39
8,You're not sorry,40
8,"No, no, oh-oh",41
8,"No, no, no, no, no, no, no, no, no, no, no, no",42
8,"Woah, oh, oh oh, oh oh oh",43
8,"Oh, oh, oh, no, no, no, no, no, no",44
9,He is sensible and so incredible,1
9,And all my single friends are jealous,2
9,He says everything I need to hear and it's like,3
9,I couldn't ask for anything better,4
9,He opens up my door and I get into his car,5
9,"And he says, ""You look beautiful tonight""",6
9,And I feel perfectly fine,7
9,But I miss screaming and fighting and kissing in the rain,8
9,And it's 2AM and I'm cursing your name,9
9,You're so in love that you act insane,10
9,And that's the way I loved you,11
9,Breaking down and coming undone,12
9,It's a rollercoaster kind of rush,13
9,And I never knew I could feel that much,14
9,And that's the way I loved you,15
9,He respects my space,16
9,And never makes me wait,17
9,And he calls exactly when he says he will,18
9,He's close to my mother,19
9,Talks business with my father,20
9,He's charming and endearing,21
9,And I'm comfortable,22
9,But I miss screaming and fighting and kissing in the rain,23
9,And it's 2AM and I'm cursing your name,24
9,You're so in love that you acted insane,25
9,And that's the way I loved you,26
9,Breaking down and coming undone,27
9,It's a rollercoaster kind of rush,28
9,And I never knew I could feel that much,29
9,And that's the way I loved you,30
9,He can't see the smile I'm faking,31
9,And my heart's not breaking,32
9,'Cause I'm not feeling anything at all,33
9,And you were wild and crazy,34
9,Just so frustrating,35
9,"Intoxicating, complicated",36
9,Got away by some mistake and now,37
9,I miss screaming and fighting and kissing in the rain,38
9,It's 2AM and I'm cursing your name,39
9,I'm so in love that I acted insane,40
9,And that's the way I loved you,41
9,Breaking down and coming undone,42
9,It's a rollercoaster kind of rush,43
9,And I never knew I could feel that much,44
9,"And that's the way I loved you oh, oh",45
9,"Whoa, whoa, oh-oh, oh",46
9,"And that's the way I loved you oh, oh, oh, oh",47
9,"Oh, oh, oh, whoa",48
9,Never knew I could feel that much,49
9,And that's the way I loved you,50
10,Once upon a time,1
10,I believe it was a Tuesday when I caught your eye,2
10,And we caught onto something,3
10,I hold onto the night,4
10,You looked me in the eye and told me you loved me,5
10,Were you just kidding?,6
10,'Cause it seems to me,7
10,"This thing is breaking down, we almost never speak",8
10,I don't feel welcome anymore,9
10,"Baby, what happened? Please tell me",10
10,'Cause one second it was perfect,11
10,Now you're halfway out the door,12
10,"And I stare at the phone, he still hasn't called",13
10,And then you feel so low you can't feel nothing at all,14
10,"And you flashback to when he said, ""forever and always""",15
10,"Oh, and it rains in your bedroom",16
10,Everything is wrong,17
10,It rains when you're here and it rains when you're gone,18
10,"'Cause I was there when you said, ""forever and always""",19
